CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODPOSTAL,NCAMAS,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,OBSERVACIONES,CCAA,PROVINCIA,MUNICIPIO,FINALIDAD,PATRIMONIAL,FUNCIONALIDAD,AÑO
210097,HOSPITAL DE RIOTINTO,"AVDA. LA ESQUILA, 5",959025295,,959025297,21660,118,S,N,N,,N,N,N,,N,secdireccion.dsa.sspa@juntadeandalucia.es,,ANDALUCÍA,HUELVA,Minas de Riotinto,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
210101,HOSPITAL UNIVERSITARIO JUAN RAMÓN JIMÉNEZ,"RONDA NORTE, S/N",959016000,,959016202,21005,891,S,S,N,,N,N,S,,N,,,ANDALUCÍA,HUELVA,Huelva,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
210123,HOSPITAL JUAN RAMÓN JIMÉNEZ,"RONDA NORTE, S/N",959016000,,959016202,21005,0,S,N,S,210101,N,S,S,,N,,,ANDALUCÍA,HUELVA,Huelva,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
210137,HOSPITAL COSTA DE LA LUZ,"C/ PUNTA UMBRÍA, 8",959242100,,959240652,21002,56,N,N,N,,N,N,S,,N,correo@hospitalcostadelaluz.com,,ANDALUCÍA,HUELVA,Huelva,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
210148,HOSPITAL VIRGEN DE LA BELLA,"AVENIDA LAS ROSAS, S/N",649902722,,959012125,21440,61,N,N,N,,N,N,N,,N,,,ANDALUCÍA,HUELVA,Lepe,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
220015,HOSPITAL GENERAL SAN JORGE,"AV. MARTÍNEZ DE VELASCO, 36",974247000,,974211365,22004,297,S,N,N,,N,N,S,,N,gmontero@salud.aragon.es,,ARAGÓN,HUESCA,Huesca,GENERAL,SEGURIDAD SOCIAL,SERVICIO ARAGONÉS DE SALUD-SALUD,2019
220020,CENTRO DE REHAB. PSICOSOCIAL SANTO CRISTO DE LOS MILAGROS,"CTRA. DE ARGUIS, KM. 2,5",974220772,,974222604,22006,110,S,N,N,,N,N,S,,N,gmontero@salud.aragon.es,,ARAGÓN,HUESCA,Huesca,PSIQUIÁTRICO,COMUNIDAD AUTÓNOMA,SERVICIO ARAGONÉS DE SALUD-SALUD,2019
220036,HOSPITAL SAGRADO CORAZÓN DE JESÚS,"PASEO LUCAS MALLADA, 22",974292000,,974292009,22006,70,S,N,N,,N,N,S,,N,gmontero@salud.aragon.es,,ARAGÓN,HUESCA,Huesca,GERIATRÍA Y/O LARGA ESTANCIA,COMUNIDAD AUTÓNOMA,SERVICIO ARAGONÉS DE SALUD-SALUD,2019
220041,HOSPITAL VIAMED SANTIAGO,"SARIÑENA, 12",974220600,,974703011,22004,40,N,N,N,,N,N,S,,S,bnasarre@viamedsantiago.com,,ARAGÓN,HUESCA,Huesca,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
220054,HOSPITAL DE BARBASTRO,"CTRA. NACIONAL 240, S/N",974249000,,974249074,22300,172,N,N,N,,N,N,N,,N,sectorbarbastro@salud.aragon.es,,ARAGÓN,HUESCA,Barbastro,GENERAL,SEGURIDAD SOCIAL,SERVICIO ARAGONÉS DE SALUD-SALUD,2019
220089,HOSPITAL DE JACA.SALUD,CARRETERA DE RAPITÁN S/N,974355331,,974364142,22700,50,N,N,N,,N,N,N,,N,gmontero@salud.aragon.es,,ARAGÓN,HUESCA,Jaca,GENERAL,ENTIDADES PÚBLICAS,SERVICIO ARAGONÉS DE SALUD-SALUD,2019
220105,CENTRO SANITARIO BAJO CINCA-BAIX CINCA,"HERMANA ANDRESA, 2",974474545,,974471065,22520,20,N,N,N,,N,N,N,,N,cefraga@salud.aragon.es,,ARAGÓN,HUESCA,Fraga,OTRA FINALIDAD,COMUNIDAD AUTÓNOMA,SERVICIO ARAGONÉS DE SALUD-SALUD,2019
230011,HOSPITAL GENERAL DEL H.U. DE JAÉN,"AVDA. DEL EJÉRCITO ESPAÑOL, 10",953008000,953008001,953008048,23007,0,S,N,S,230119,N,N,S,,N,,,ANDALUCÍA,JAÉN,Jaén,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230026,HOSPITAL DOCTOR SAGAZ,"CTRA. DEL NEVERAL, S/N",953008001,,953008048,23071,0,S,N,S,230119,N,N,S,,N,,,ANDALUCÍA,JAÉN,Jaén,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230047,HOSPITAL NEUROTRAUMATOLÓGICO DEL H.U. DE JAÉN,"CTRA. BAILÉN-MOTRIL, S/N",953008000,,953008048,23009,0,S,N,S,230119,N,N,S,,N,,,ANDALUCÍA,JAÉN,Jaén,TRAUMATOLOGÍA Y/O REHABILITACIÓN,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230063,CLÍNICA CRISTO REY,"PASEO DE LA ESTACIÓN, 40",953250440,,953250458,23008,39,N,N,N,,N,N,S,,N,,,ANDALUCÍA,JAÉN,Jaén,QUIRÚRGICO,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
230079,HOSPITAL SAN AGUSTÍN,"AVDA. DE SAN CRISTÓBAL, S/N",953024200,,953024315,23700,204,S,N,N,,N,N,N,,N,,,ANDALUCÍA,JAÉN,Linares,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230098,HOSPITAL SAN JUAN DE LA CRUZ,"CTRA. DE LINARES, KM. 1",953028200,,953028251,23400,231,S,N,N,,N,N,N,,N,,,ANDALUCÍA,JAÉN,Úbeda,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230119,HOSPITAL UNIVERSITARIO DE JAÉN,"AVDA. DEL EJÉRCITO ESPAÑOL, 10",953008010,,953008048,23007,805,S,S,N,,N,N,S,,N,,,ANDALUCÍA,JAÉN,Jaén,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230145,HOSPITAL ALTO GUADALQUIVIR,"AV. BLAS INFANTE, S/N",953021575,,953021405,23740,67,N,N,N,,N,N,N,,N,gerencia@ephag.es,Empresa Pública,ANDALUCÍA,JAÉN,Andújar,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230151,HOSPITAL MATERNO-INFANTIL DEL H.U. DE JAÉN,"AVDA. DEL EJÉRCITO ESPAÑOL, 10",953008000,,953008048,23007,0,N,N,S,230119,N,N,S,,N,,,ANDALUCÍA,JAÉN,Jaén,MATERNO-INFANTIL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230162,HOSPITAL DE ALTA RESOLUCIÓN SIERRA DE SEGURA,"CRTRA PUENTE DE GÉNAVE-LA PUERTA DE SEGURA KM 0,300",953499012,,953499162,23350,24,N,N,N,,N,N,N,,N,gerencia@ephag.es,,ANDALUCÍA,JAÉN,Puente de Génave,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230173,HOSPITAL DE ALTA RESOLUCIÓN DE ALCAUDETE,"CAMINO VIEJO DE LA FUENSANTA, 2",953368211,,953368287,23660,16,N,N,N,,N,N,N,,N,gerencia@ephag.es,,ANDALUCÍA,JAÉN,Alcaudete,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
230184,HOSPITAL DE ALTA RESOLUCIÓN DE ALCALÁ LA REAL,"AVDA. IBEROAMÉRICA, S/N",953599008,,953599058,23680,28,N,N,N,,N,N,N,,N,gerencia@ephag.es,,ANDALUCÍA,JAÉN,Alcalá la Real,GENERAL,COMUNIDAD AUTÓNOMA,COMUNIDAD AUTÓNOMA,2019
240016,HOSPITAL DE LEÓN,"ALTOS DE NAVA, S/N",987237400,987234900,987233322,24080,0,S,N,S,240191,N,N,S,,N,gerente.hleo@saludcastillayleon.es,,CASTILLA Y LEÓN,LEÓN,León,GENERAL,SEGURIDAD SOCIAL,SANIDAD CASTILLA Y LEÓN-SACYL,2019
240021,HOSPITAL MONTE SAN ISIDRO,"CTRA. DE ASTURIAS, S/N",987227250,987243252,987243252,24008,0,N,N,S,240191,N,N,S,,N,gerente.hleo@saludcastillayleon.es,,CASTILLA Y LEÓN,LEÓN,León,GERIATRÍA Y/O LARGA ESTANCIA,COMUNIDAD AUTÓNOMA,SANIDAD CASTILLA Y LEÓN-SACYL,2019
240055,REGLA HM HOSPITALES,"CARDENAL LANDÁZURI, 2",987236900,,987220002,24003,130,N,N,N,,N,N,S,,S,jsaz@hospitalesmadrid.com,,CASTILLA Y LEÓN,LEÓN,León,GENERAL,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),2019
240074,HOSPITAL HM SAN FRANCISCO,"MARQUESES DE SAN ISIDRO, 11",987202111,,987251012,24004,75,N,N,N,,N,N,S,,S,jsaz@hospitalesmadrid.com,,CASTILLA Y LEÓN,LEÓN,León,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
240093,HOSPITAL SANTA ISABEL,"AV. DE MADRID, 118",987203000,987203090,987210405,24080,0,N,N,S,240191,N,N,S,,N,gerente.hleo@saludcastillayleon.es,,CASTILLA Y LEÓN,LEÓN,León,PSIQUIÁTRICO,PRIVADO NO BENÉFICO,SANIDAD CASTILLA Y LEÓN-SACYL,2019
240135,HOSPITAL EL BIERZO,"MÉDICOS SIN FRONTERAS, 7",987455200,,987455300,24404,408,S,N,N,,N,N,N,,N,gerente.hbrz@saludcastillayleon.es,,CASTILLA Y LEÓN,LEÓN,Ponferrada,GENERAL,SEGURIDAD SOCIAL,SANIDAD CASTILLA Y LEÓN-SACYL,2019
240140,HOSPITAL DE LA REINA,"HOSPITAL, 26-28",987409109,,987411945,24401,72,N,N,N,,N,N,N,,S,felixrapun@hospital-reina.com,,CASTILLA Y LEÓN,LEÓN,Ponferrada,GENERAL,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,2019
240188,HOSPITAL SAN JUAN DE DIOS,"AV. SAN IGNACIO DE LOYOLA, 73",987232500,987232300,987243470,24010,297,N,N,N,,N,N,N,,S,leon.hospital@hsjd.es,,CASTILLA Y LEÓN,LEÓN,San Andrés del Rabanedo,GENERAL,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),2019
240191,COMPLEJO ASISTENCIAL UNIVERSITARIO DE LEÓN,ALTOS DE LA NAVA S/N,987237400,,987233322,24080,1056,S,S,N,,N,N,S,,N,gerente.hleo@saludcastillayleon.es,,CASTILLA Y LEÓN,LEÓN,León,GENERAL,ENTIDADES PÚBLICAS,SANIDAD CASTILLA Y LEÓN-SACYL,2019
240205,CLÍNICA ALTOLLANO,"LA FUENTINA, S/N. LLANOS DE NAVA. NAVATEJERA",987286000,,987286012,24193,110,N,N,N,,N,N,N,,S,beatriz@altollano.org,,CASTILLA Y LEÓN,LEÓN,Villaquilambre,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
240212,CLÍNICA PONFERRADA,"AV. DE GALICIA, 1",987423732,,987429102,24404,46,N,N,N,,N,N,N,,S,gerencia@clinicaponferrada.com,,CASTILLA Y LEÓN,LEÓN,Ponferrada,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
240220,HOSPITAL VALLE DE LACIANA,"AV. DE ASTURIAS, S/N",987481057,648235519,987470837,24100,15,N,N,N,,N,N,N,,S,araceli.frances@ute-orthem.provire.es,,CASTILLA Y LEÓN,LEÓN,Villablino,GERIATRÍA Y/O LARGA ESTANCIA,MUNICIPIO,COMUNIDAD AUTÓNOMA,2019
250019,HOSPITAL UNIVERSITARI ARNAU DE VILANOVA DE LLEIDA.,"AV ALCALDE  ROVIRA  ROURE, 80",973248100,973248100,973248754,25198,463,S,N,N,,N,N,S,,Xhup,arnau@arnau.scs.es,,CATALUÑA,LLEIDA,Lleida,GENERAL,SEGURIDAD SOCIAL,INSTITUTO CATALÁN DE LA SALUD,2019
250024,HOSPITAL SANTA MARIA,"AV ALCALDE ROVIRA ROURE, 44",973727222,973727222,973727223,25198,229,N,N,N,,N,N,S,,Xhup,gerencia@gss.scs.es,,CATALUÑA,LLEIDA,Lleida,GENERAL,COMUNIDAD AUTÓNOMA,OTROS PÚBLICOS,2019
250045,VITHAS HOSPITAL MONTSERRAT,"CR BISBE TORRES, 13",973266300,973266300,973271870,25002,47,N,N,N,,N,N,S,,N,egean@vithas.es,,CATALUÑA,LLEIDA,Lleida,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250058,"CLÍNICA PERPETUO SOCORRO DE LÉRIDA, GRUPO HLA, SLU","CR BISBE MESSEGUER, 3",973266100,973266100,973280757,25003,58,N,N,N,,N,N,S,,N,ipaules@asisa.es,,CATALUÑA,LLEIDA,Lleida,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250061,CLÍNICA TERRES DE PONENT,"AV ENRIC PRAT DE LA RIBA, 79-81",973232943,973232943,973238540,25004,123,N,N,N,,N,N,S,,Xhup,gerencia@clinicalleida.com,,CATALUÑA,LLEIDA,Lleida,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250077,CLÍNICA PSIQUIÀTRICA BELLAVISTA,"AV ROVIRA ROURE, 116",973231698,973231698,973233364,25198,75,N,N,N,,N,N,S,,N,clinicabellavista@clinicabellavista.com,,CATALUÑA,LLEIDA,Lleida,PSIQUIÁTRICO,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250117,FUNDACIÓ SANT HOSPITAL.,"PS JOAN BRUDIEU, 8",973350050,973350050,973353505,25700,88,N,N,N,,N,N,N,,Xhup,hospital@fsh.cat,,CATALUÑA,LLEIDA,"Seu d'Urgell, La",GENERAL,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,2019
250138,"CENTRE SANITARI DEL SOLSONÈS, FPC","PL ANTONI GUITART,, 1",973481172,973481172,973481098,25280,32,N,N,N,,N,N,N,,N,info@cssolsones.com,,CATALUÑA,LLEIDA,Solsona,GERIATRÍA Y/O LARGA ESTANCIA,ENTIDADES PÚBLICAS,OTROS PÚBLICOS,2019
250143,HOSPITAL COMARCAL DEL PALLARS,"AV PAU CASALS, 5",973652255,973652255,973651487,25620,63,N,N,N,,N,N,N,,Xhup,hcp@hospitalpallars.com,,CATALUÑA,LLEIDA,Tremp,GENERAL,COMUNIDAD AUTÓNOMA,OTROS PÚBLICOS,2019
250156,ESPITAU VAL D'ARAN,"CR ESPITAU,, 8",973640004,973640006,973640529,25530,31,N,N,N,,N,N,N,,Xhup,xavig@aransalut.com,,CATALUÑA,LLEIDA,Vielha e Mijaran,GENERAL,COMUNIDAD AUTÓNOMA,PRIVADO NO BENÉFICO,2019
250169,HESTIA BALAGUER.,"CR GREGORI GALLEGO, 22-28",973450304,973451130,973451321,25600,120,N,N,N,,N,N,N,,N,hospitaljaumeurgell@jaumeurgell.org,,CATALUÑA,LLEIDA,Balaguer,GERIATRÍA Y/O LARGA ESTANCIA,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250175,RESIDÈNCIA TERRAFERMA,"CR PARTIDA DEL GRAÓ, S/N",973737455,973737455,973737001,25110,137,N,N,N,,N,N,N,,N,,,CATALUÑA,LLEIDA,Alpicat,GERIATRÍA Y/O LARGA ESTANCIA,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250181,"CASTELL D'OLIANA RESIDENCIAL,S.L","CT DE LLEIDA A PUIGCERDÀ, .89",973463030,973463030,973463131,25790,20,N,N,N,,N,N,N,,N,ccoello@caseresidencial.es,,CATALUÑA,LLEIDA,Oliana,PSIQUIÁTRICO,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250209,HOSPITAL JAUME NADAL MEROLES,"CR ACADÈMIA, 41",973289333,973289333,,25002,126,N,N,N,,N,N,S,,N,direccion.jnadal@sarquavitae.es,,CATALUÑA,LLEIDA,Lleida,GERIATRÍA Y/O LARGA ESTANCIA,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250210,SANT JOAN DE DÉU TERRES DE LLEIDA,"CT N-240, .111",973740010,973740504,973741193,25100,29,N,N,N,,N,N,N,,N,almacelles@sjd-lleida.org,,CATALUÑA,LLEIDA,Almacelles,PSIQUIÁTRICO,OTRO PRIVADO BENÉFICO,PRIVADO-BENÉFICO (IGLESIA),2019
250221,REEIXIR,"CR AFORES, S/N",973269543,973269543,,25430,44,N,N,N,,N,N,N,,N,apedra@comll.cat,,CATALUÑA,LLEIDA,Juneda,PSIQUIÁTRICO,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
250232,HOSPITAL SANT JOAN DE DÉU LLEIDA,"AV CANADENCA, 28",973740010,973740010,,25001,130,N,N,N,,N,N,N,,N,almacelles@sjd-lleida.org,,CATALUÑA,LLEIDA,Lleida,PSIQUIÁTRICO,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),2019
260012,COMPLEJO HOSPITALARIO SAN MILLAN SAN PEDRO DE LA RIOJA,C/ PIQUERAS 98,941298000,,941298660,26006,590,S,S,N,,N,N,S,,N,gerencia_srs@riojasalud.es,,LA RIOJA,LA RIOJA,Logroño,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO RIOJANO DE SALUD,2019
260027,HOSPITAL SAN PEDRO,"CTRA. DE PIQUERAS, 98",941298000,,941297550,26006,0,S,N,S,260012,N,N,S,,N,gerencia_srs@riojasalud.es,,LA RIOJA,LA RIOJA,Logroño,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO RIOJANO DE SALUD,2019
260048,HOSPITAL GENERAL DE LA RIOJA,"AV. DE VIANA, S/N",941298000,,941297386,26001,0,S,N,S,260012,N,N,S,,N,gerencia_srs@riojasalud.es,,LA RIOJA,LA RIOJA,Logroño,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO RIOJANO DE SALUD,2019
260051,"POLICLÍNICO RIOJANO NUESTRA SEÑORA DE VALVANERA, S.A.",CALLE RAMÓN Y CAJAL S/N,941211900,,941211231,26006,87,N,N,N,,N,N,S,,S,jl@viamedlosmanzanos.com,,LA RIOJA,LA RIOJA,Logroño,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
260099,FUNDACIÓN HOSPITAL CALAHORRA,"CTRA. LOGROÑO, S/N",941151003,,941151103,26500,80,N,N,N,,N,N,N,,S,gerencia.fhc@riojasalud.es,Fundación Pública,LA RIOJA,LA RIOJA,Calahorra,GENERAL,SEGURIDAD SOCIAL,SERVICIO RIOJANO DE SALUD,2019
260109,CLÍNICA LOS MANZANOS,HERMANOS MARISTAS S/N,941499490,,941499491,26140,52,N,N,N,,N,N,N,,S,jl@viamedlosmanzanos.com,,LA RIOJA,LA RIOJA,Lardero,MÉDICO-QUIRÚRGICO,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
260110,CENTRO ASISTENCIAL DE ALBELDA DE IREGUA,CRTA. SORIA KM. 8,941279220,,941279209,26120,140,N,N,N,,N,N,N,,N,,,LA RIOJA,LA RIOJA,Albelda de Iregua,PSIQUIÁTRICO,COMUNIDAD AUTÓNOMA,SERVICIO RIOJANO DE SALUD,2019
260121,CENTRO SOCIOSANITARIO DE CONVALECENCIA LOS JAZMINES,"SEVERO OCHOA, 5",941303650,,941304485,26200,26,N,N,N,,N,N,N,,S,vfe@viamedlosjazmines.com,,LA RIOJA,LA RIOJA,Haro,GERIATRÍA Y/O LARGA ESTANCIA,COMUNIDAD AUTÓNOMA,PRIVADO NO BENÉFICO,2019
260132,CENTRO  SOCIOSANITARIO  DE CONVALECENCIA NUESTRA SEÑORA VIRGEN DEL CARMEN,SANTIAGO RAMÓN Y CAJAL S/N,941010000,,941010001,26500,75,N,N,N,,N,N,N,,N,jl@viamedlosmanzanos.com,,LA RIOJA,LA RIOJA,Calahorra,GERIATRÍA Y/O LARGA ESTANCIA,COMUNIDAD AUTÓNOMA,PRIVADO NO BENÉFICO,2019
270018,COMPLEXO HOSPITALARIO UNIVERSITARIO DE LUGO,"ULISES ROMERO, 1",982296000,,982295611,27003,848,S,S,N,,N,N,S,,N,,,GALICIA,LUGO,Lugo,GENERAL,ENTIDADES PÚBLICAS,SERVICIO GALLEGO DE SALUD-SERGAS,2019
270039,HOSPITAL DE CALDE (PSIQUIATRICO),"RUA CALDE, S/N",982296000,,982295544,27210,0,S,N,S,270018,N,N,S,,N,,,GALICIA,LUGO,Lugo,GENERAL,ENTIDADES PÚBLICAS,SERVICIO GALLEGO DE SALUD-SERGAS,2019
270057,HOSPITAL POLUSA,"DOUTOR IGLESIAS OTERO, S/N",982222854,,982267147,27004,97,N,N,N,,N,N,S,,S,POLUSA@POLUSA.ES,,GALICIA,LUGO,Lugo,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
270076,SANATORIO NOSA SEÑORA DOS OLLOS GRANDES,"MONTEVIDEO, 23",982284040,,982252047,27001,69,N,N,N,,N,N,S,,S,ADMINISTRACION@NSOG.ES,,GALICIA,LUGO,Lugo,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
270095,HOSPITAL PUBLICO DA MARIÑA (*),"MEDICO VIOR, S/N",982589901,,982589908,27880,139,N,N,N,,N,N,N,,N,,RM compartida (3 unidades móviles RM),GALICIA,LUGO,Burela,GENERAL,SEGURIDAD SOCIAL,SERVICIO GALLEGO DE SALUD-SERGAS,2019
270109,HOSPITAL DE MONFORTE (*),"CORREDOIRA, S/N",982417900,,982404006,27400,140,N,N,N,,N,N,N,,N,,RM compartida (3 unidades móviles RM),GALICIA,LUGO,Monforte de Lemos,GENERAL,SEGURIDAD SOCIAL,SERVICIO GALLEGO DE SALUD-SERGAS,2019
270122,HOSPITAL UNIVERSITARIO LUCUS AUGUSTI,"ULISES ROMERO, 1",982296000,,,27003,0,S,N,S,270018,N,N,S,,N,,,GALICIA,LUGO,Lugo,GENERAL,ENTIDADES PÚBLICAS,SERVICIO GALLEGO DE SALUD-SERGAS,2019
280014,HOSPITAL UNIVERSITARIO LA PAZ,"Pº DE LA CASTELLANA, 261",917277000,,913584699,28046,0,S,N,S,281168,N,N,S,,N,gencia.hulp@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,2019
280029,HOSPITAL RAMÓN Y CAJAL,"CTRA. DE COLMENAR VIEJO, KM. 9,1",913368000,,913580614,28034,901,S,N,N,,N,N,S,,N,gencia.hrc@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,2019
280035,HOSPITAL UNIVERSITARIO 12 DE OCTUBRE,"AV. DE CÓRDOBA, S/N",913908373,,913908582,28041,1196,S,N,N,,N,N,S,,N,gerent.hdoc@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,2019
280072,HOSPITAL CLÍNICO SAN CARLOS,"PROF. MARTÍN LAGOS, S/N",913303000,,913303257,28040,861,S,N,N,,N,N,S,,N,gerent.hcsc@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,2019
280091,HOSPITAL VIRGEN DE LA TORRE,"PUERTO LUMBRERAS, 5",911918883,,911919895,28031,0,N,N,S,281405,N,N,S,,N,gerencia.hvll@salud.madrid.org,,MADRID,MADRID,Madrid,OTROS MONOGRÁFICOS,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,2019
280112,HOSPITAL UNIVERSITARIO SANTA CRISTINA,"MAESTRO VIVES, 2",915574300,,915574400,28009,156,N,N,N,,N,N,S,,N,gencia.hscr@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,2019
280127,HOSPITAL UNIVERSITARIO DE LA PRINCESA,"DIEGO DE LEÓN, 62",915202200,915202501,914021169,28006,524,S,N,N,,N,N,S,,N,gencia.hlpr@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,2019
280133,HOSPITAL INFANTIL UNIVERSITARIO NIÑO JESUS,"AV. MENÉNDEZ PELAYO, 65",915035900,,915733546,28009,170,S,N,N,,N,N,S,,N,gerent.hnjs@salud.madrid.org,,MADRID,MADRID,Madrid,INFANTIL,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,2019
280148,HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSÉ Y SANTA ADELA,"AV. DE LA REINA VICTORIA, 22-24",914538300,,915330515,28003,154,S,N,N,,N,N,S,,N,gerent.hccruzr@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,PRIVADO-BENÉFICO (CRUZ ROJA),SERVICIO MADRILEÑO DE SALUD,2019
280164,HOSPITAL CARLOS III,"SINESIO DELGADO, 8-10",917277000,,913584699,28029,0,S,N,S,281168,N,N,S,,N,gencia.hulp@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,2019
280210,HOSPITAL CANTOBLANCO,"CTRA. DE COLMENAR VIEJO, KM. 14,5",917277000,,913584699,28049,0,N,N,S,281168,N,N,S,,N,gencia.hulp@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,2019
280225,COMPLEJO HOSPITALARIO GREGORIO MARAÑÓN,"DR ESQUERDO, 46",915868000,915868017,915868018,28007,1349,S,S,N,,N,N,S,,N,gerencia.hgugm@salud.madrid.org,,MADRID,MADRID,Madrid,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,2019
280246,HOSPITAL GENERAL UNIVERSITARIO GREGORIO MARAÑÓN,"DR ESQUERDO, 46",915868000,915868017,915868018,28007,0,S,N,S,280225,N,N,S,,N,,,MADRID,MADRID,Madrid,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,2019
280259,INSTITUTO PROVINCIAL DE REHABILITACIÓN,"FRANCISCO SILVELA, 40",915868967,,915868996,28028,0,S,N,S,280225,N,N,S,,N,,,MADRID,MADRID,Madrid,GERIATRÍA Y/O LARGA ESTANCIA,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,2019
280262,HOSPITAL DR. R. LAFORA,"CTRA. DE COLMENAR VIEJO, KM. 13,8",915867500,,915867391,28049,334,S,N,N,,N,N,S,,N,gerent.hlafora@salud.madrid.org,,MADRID,MADRID,Madrid,PSIQUIÁTRICO,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,2019
280323,SANATORIO NUESTRA SEÑORA DEL ROSARIO,"PRÍNCIPE DE VERGARA, 53",914359100,,915761800,28006,176,N,N,N,,N,N,S,,N,secretaria@hospitalrosario.com,,MADRID,MADRID,Madrid,GENERAL,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),2019
